Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
Paleface Grocery,78669,06/28/2022,93,"23526 W SH
SPICEWOOD, TX 78669",2801077,Routine Inspection
Stop 71,78735,04/13/2022,79,"8314 W SH
AUSTIN, TX 78735",2803909,Routine Inspection
Atrium Gift Shop,78705,05/24/2021,100,"919 E 32ND ST
AUSTIN, TX 78705",11979541,Routine Inspection
OOB Sonic #43,78748,07/02/2020,88,"9708 MANCHACA RD
AUSTIN, TX 78748",2800565,Routine Inspection
HEB Grocery #229,78744,06/03/2021,94,"6607 S IH
AUSTIN, TX 78744",2803448,Routine Inspection
Johnny Carino's,78748,08/23/2022,88,"9500 S IH
AUSTIN, TX 78748",11792053,Routine Inspection
LW - Firehouse Subs,78734,09/21/2020,99,"900 S FM 620 RD
LAKEWAY, TX 78734",10964761,Routine Inspection
BC-Bahama Buck's,78738,11/25/2020,90,"3944 S FM 620 RD
B BEE CAVE, TX 78738",12063453,Routine Inspection
Spinners,78728,05/26/2022,94,"14106 N IH
AUSTIN, TX 78728",10976401,Routine Inspection
Murphy USA #7211,78748,06/23/2021,98,"9300 S IH
AUSTIN, TX 78748",12185816,Routine Inspection
Fairfield Inn,78744,05/21/2021,95,"4525 S IH
AUSTIN, TX 78744",12392489,Routine Inspection
BC - Ellera,78738,11/16/2021,79,"12432 FM 2244 RD
BEE CAVE, TX 78738",12393676,Routine Inspection
Whip My Soul LLC,78726,09/21/2022,91,"11416 N FM
UNIT F & G AUSTIN, TX 78726",12396124,Routine Inspection
Best Stop Food Market,78702,06/18/2020,81,"1130 AIRPORT BLVD
AUSTIN, TX 78702
(30.267761, -97.69617)",2803494,Routine Inspection
Tex-Mex Joes,78757,04/12/2022,88,"7600 N LAMAR BLVD
AUSTIN, TX 78757
(30.34455, -97.71472)",11082636,Routine Inspection
P F Chang's China Bistro,78759,06/03/2021,84,"10114 JOLLYVILLE RD
AUSTIN, TX 78759
(30.396093, -97.749989)",2801032,Routine Inspection
Don Chicken Lakeline Inc.,78717,03/30/2022,90,"11301 LAKELINE BLVD
AUSTIN, TX 78717
(30.479897, -97.797927)",12394826,Routine Inspection
